species_group,strata,year,biomass,cv
big_skate,GOA,1984,27540.2,0.21895973742368158
big_skate,GOA,1987,28093.1,0.156948480213703
big_skate,GOA,1990,22316.100000000002,0.2497684892937836
big_skate,GOA,1993,39732.6,0.17898636082607977
big_skate,GOA,1996,43063.8,0.17626694208877747
big_skate,GOA,1999,54650.4,0.14722861491350395
big_skate,GOA,2001,39082.4,0.18653414328097997
big_skate,GOA,2003,55396.700000000004,0.16384951562243397
big_skate,GOA,2005,39319.6,0.16153395270742313
big_skate,GOA,2007,39629.5,0.1941511250252283
big_skate,GOA,2009,44349.299999999996,0.16131582026661
big_skate,GOA,2011,67882.5,0.3662646792500892
big_skate,GOA,2013,38233.5,0.25593201107841995
big_skate,GOA,2015,58047.4,0.1702691990247893
big_skate,GOA,2017,33609.9,0.17434362613467738
big_skate,GOA,2019,43481.8,0.16183411192249386
big_skate,GOA,2021,31855.6,0.2113523317951487
longnose_skate,GOA,1984,9002.1,0.3840750647443102
longnose_skate,GOA,1987,6630.8,0.3587212418583272
longnose_skate,GOA,1990,11995,0.2233378112042947
longnose_skate,GOA,1993,17802.5,0.12227813652127982
longnose_skate,GOA,1996,26225.7,0.13620599274316864
longnose_skate,GOA,1999,39333.3,0.139135442154474
longnose_skate,GOA,2001,23274.6,0.15805407090213724
longnose_skate,GOA,2003,39603,0.09092885043169723
longnose_skate,GOA,2005,41369.9,0.0819062727946572
longnose_skate,GOA,2007,34469.6,0.10694169210258168
longnose_skate,GOA,2009,36652.4,0.08939065868699478
longnose_skate,GOA,2011,33911.2,0.11287753497623143
longnose_skate,GOA,2013,44484.1,0.10544103795637835
longnose_skate,GOA,2015,41925.8,0.09047193204869897
longnose_skate,GOA,2017,49501.3,0.16514849909285004
longnose_skate,GOA,2019,32279.100000000002,0.10557526576328431
longnose_skate,GOA,2021,36605.7,0.10603398631025662
other_skates,GOA,1984,4633.5,0.16447960761910194
other_skates,GOA,1987,3213.3,0.21989632831235462
other_skates,GOA,1990,13921.4,0.24720692303705658
other_skates,GOA,1993,1448.7,0.3224593040732281
other_skates,GOA,1996,9745.9,0.18908821421819322
other_skates,GOA,1999,18879.2,0.11521223308817648
other_skates,GOA,2001,12823.2,0.15866066185976996
other_skates,GOA,2003,21737.6,0.11513360223413138
other_skates,GOA,2005,29997.8,0.11183206632691599
other_skates,GOA,2007,32273.5,0.1064109315707589
other_skates,GOA,2009,27398.8,0.12074494427944117
other_skates,GOA,2011,21364.2,0.10243206986242666
other_skates,GOA,2013,30704.8,0.11464422569590305
other_skates,GOA,2015,25185.7,0.10821107158490316
other_skates,GOA,2017,17819.5,0.1297479260545045
other_skates,GOA,2019,10736.3,0.14609537768635666
other_skates,GOA,2021,13330.4,0.17748805445446791
