species_group,strata,year,cpue,cv
big_skate,GOA,1998,522.373126349,0.1874089441202669
big_skate,GOA,1999,1523.5149396069999,0.10403984672944974
big_skate,GOA,2000,1320.66976707,0.14394377896929053
big_skate,GOA,2001,810.356531067,0.1852981161643023
big_skate,GOA,2002,601.92715365,0.15056141844854837
big_skate,GOA,2003,1027.873327629,0.12334132656603214
big_skate,GOA,2004,1263.049723479,0.1576796478222503
big_skate,GOA,2005,827.17865893,0.12684029136027763
big_skate,GOA,2006,824.577673162,0.1320523198654422
big_skate,GOA,2007,929.36295709,0.13764108829015226
big_skate,GOA,2008,1058.6415294199999,0.10716885969038234
big_skate,GOA,2009,1688.592094776,0.11307619233225749
big_skate,GOA,2010,1349.45324444,0.104245712757111
big_skate,GOA,2011,1355.3019383390001,0.10650392260106958
big_skate,GOA,2012,1522.248989554,0.11490373484416887
big_skate,GOA,2013,1341.83356513,0.10579157744684435
big_skate,GOA,2014,1755.8803820550002,0.12408362019214599
big_skate,GOA,2015,1948.585163331,0.10851943363276582
big_skate,GOA,2016,2436.034523276,0.13247117804348377
big_skate,GOA,2017,1855.240574121,0.09435572410357695
big_skate,GOA,2018,1707.841537646,0.11182250448702062
big_skate,GOA,2019,1732.5903992839999,0.09918010987994258
big_skate,GOA,2020,1208.813674411,0.10264326610285736
big_skate,GOA,2021,2350.443112029,0.12428075996937608
longnose_skate,GOA,1998,1408.4222700770001,0.11646977500217073
longnose_skate,GOA,1999,1925.84985463,0.06435213554392465
longnose_skate,GOA,2000,2484.36177123,0.05965496278037739
longnose_skate,GOA,2001,2652.333951066,0.07114934838013448
longnose_skate,GOA,2002,3269.5112372979997,0.05976667799758383
longnose_skate,GOA,2003,2876.026537867,0.0651075196104629
longnose_skate,GOA,2004,3251.777607831,0.07250412632983946
longnose_skate,GOA,2005,2825.01883715,0.05308643839819198
longnose_skate,GOA,2006,3220.6005989709997,0.05479565037877719
longnose_skate,GOA,2007,3288.82659738,0.052927162862800525
longnose_skate,GOA,2008,4135.14631237,0.05140177428482211
longnose_skate,GOA,2009,5001.87656612,0.05142812447853658
longnose_skate,GOA,2010,3894.48301899,0.048968394474991864
longnose_skate,GOA,2011,4520.5731777,0.051281307205363655
longnose_skate,GOA,2012,5312.826894948,0.05806472186748075
longnose_skate,GOA,2013,4870.131549242,0.05496424202980456
longnose_skate,GOA,2014,4534.597113095,0.04984872232880544
longnose_skate,GOA,2015,4388.931509923,0.04839064921030428
longnose_skate,GOA,2016,4016.22994926,0.052200501786244774
longnose_skate,GOA,2017,3677.343452228,0.059473200547553375
longnose_skate,GOA,2018,3177.73998757,0.05829549991826834
longnose_skate,GOA,2019,2590.045083538,0.05846819993153015
longnose_skate,GOA,2020,3833.83284718,0.056306430441082994
longnose_skate,GOA,2021,4952.327493052,0.04773656464940723
other_skates,GOA,1998,16.208137473,0.47985836871848553
other_skates,GOA,1999,448.181499952,0.1305309337760347
other_skates,GOA,2000,1058.340065546,0.10812265195675404
other_skates,GOA,2001,201.155226842,0.22024433294495405
other_skates,GOA,2002,334.726069677,0.19911923256443237
other_skates,GOA,2003,604.555521015,0.1135032799270399
other_skates,GOA,2004,1103.550150921,0.10575920631616881
other_skates,GOA,2005,1260.165547324,0.08186635205659949
other_skates,GOA,2006,1242.4654821,0.086593983069361
other_skates,GOA,2007,1403.178087926,0.08269532490967386
other_skates,GOA,2008,2324.2889735999997,0.08907751572631233
other_skates,GOA,2009,2506.95922495,0.07129650004012922
other_skates,GOA,2010,2862.46975481,0.0751606592523153
other_skates,GOA,2011,1947.649386264,0.07304768971890198
other_skates,GOA,2012,2547.065405966,0.08571703062689495
other_skates,GOA,2013,2263.780507211,0.07870590357175866
other_skates,GOA,2014,2218.757488914,0.08911294183890053
other_skates,GOA,2015,1287.34244573,0.0901759539361797
other_skates,GOA,2016,873.755440838,0.08850462791573
other_skates,GOA,2017,579.6416105320001,0.10519883858905724
other_skates,GOA,2018,656.427390313,0.10104081207145721
other_skates,GOA,2019,513.367023266,0.11229220752420459
other_skates,GOA,2020,191.193823203,0.15087385293407077
other_skates,GOA,2021,391.440502891,0.12067124431830349
